Test,X - Normalized,Y - Normalized,Hardness(GPa),Modulus,Hardness(HV)
Test 1,0,0.900230367,0.000631673,0.026646584,0.002826607
Test 2,0.049907127,0.900230367,0.009641837,0.048592502,0.01005788
Test 3,0.099979957,0.900230367,0.000204976,0,0.002484154
Test 4,0.199952968,0.900248232,0.006888547,0.041556527,0.007848177
Test 6,0.399962494,0.900249224,0.011811921,0.048269795,0.011799522
Test 7,0.499961303,0.900248232,0.080676168,0.271960681,0.067067793
Test 8,0.599928361,0.900249224,0.082688735,0.231890844,0.068683016
Test 9,0.699970828,0.900249224,0.338594054,0.472741629,0.27406455
Test 10,0.799964677,0.900249224,0.230872479,0.312557604,0.187610613
Test 11,0.89994761,0.900249224,0.109680199,0.178715398,0.090345513
Test 12,0.999975194,0.900249224,0.046719727,0.159874841,0.039815425
Test 13,0.099980949,0.800264761,0.134188097,0.26677513,0.110014778
Test 14,0.199952968,0.800248881,0.201310719,0.344272063,0.163885277
Test 15,0.29991705,0.800249874,0.004514148,0.035937525,0.005942559
Test 16,0.399958525,0.800248881,0.076742505,0.186687331,0.063910759
Test 17,0.499957334,0.800248881,0.16970261,0.243425109,0.138517607
Test 18,0.599930346,0.800247889,0.042091242,0.097710411,0.036100748
Test 19,0.699969836,0.800247889,0.233056872,0.426051782,0.189363738
Test 20,0.799960708,0.800248881,0.130054595,0.166176994,0.10669736
Test 21,0.899945626,0.800247889,0.049742038,0.314072018,0.042241036
Test 22,0.999966264,0.800247889,0.008507717,0.053759889,0.009147671
Test 23,0.099972019,0.700213801,0.100184446,0.167855706,0.082724522
Test 24,0.199944038,0.700208839,0.228904379,0.326959315,0.186031078
Test 25,0.29990812,0.700208839,0.020345331,0.064591638,0.018648167
Test 26,0.399950587,0.700205861,0.125805173,0.216843085,0.103286908
Test 27,0.499950389,0.700206854,0.051426814,0.08527397,0.043593184
Test 28,0.599922408,0.700203876,0.078866242,0.139728781,0.065615203
Test 29,0.699960906,0.700204869,0.007476883,0.055096244,0.008320356
Test 30,0.79995277,0.700205861,0.140617143,0.233309829,0.115174528
Test 31,0.899937688,0.700205861,0.015421772,0.124802548,0.014696674
Test 32,0.999960311,0.700202884,0.041943427,0.146995525,0.035982117
Test 33,0.099965074,0.600171774,0.060763822,0.12032931,0.051086773
Test 34,0.1999361,0.600171774,0.233655435,0.340351434,0.189844125
Test 35,0.299902166,0.600170781,0.057386559,0.151760536,0.048376288
Test 36,0.399944634,0.600170781,0.01137947,0.038810623,0.01145245
Test 37,0.499943443,0.600169789,0.210571045,0.248576204,0.171317322
Test 38,0.599915462,0.600170781,0.010414608,0.072893102,0.010678082
Test 39,0.699954953,0.600170781,0.016418537,0.039807723,0.015496646
Test 40,0.799935902,0.600170781,0.396154454,0.414966037,0.320260711
Test 41,0.899917843,0.600170781,0.075984912,0.178914022,0.063302739
Test 42,0.999940466,0.600170781,0,0.057305817,0.002319646
Test 43,0.099946221,0.500148603,0.256349974,0.293789791,0.208058047
Test 44,0.199916256,0.500146618,0.212561225,0.481897985,0.172914578
Test 45,0.299889267,0.500145626,0.083985156,0.123203093,0.069723482
Test 46,0.399923797,0.500145626,0.002022378,0.010862289,0.003942743
Test 47,0.499926575,0.500145626,0.13610224,0.22690089,0.111551009
Test 48,0.599892641,0.500144633,0.20218115,0.259414927,0.164583858
Test 49,0.699938085,0.500145626,0.354130412,0.355521624,0.286533541
Test 50,0.799929949,0.500144633,0.098261359,0.140076899,0.081181113
Test 51,0.899901968,0.500144633,0.092641014,0.260658931,0.076670401
Test 52,0.999909707,0.500144633,0.011124338,0.070770238,0.011247689
Test 53,0.099936299,0.400120471,0.007741218,0.017949147,0.008532503
Test 54,0.199964875,0.400119478,0.014338584,0.048720285,0.013827341
Test 55,0.299926972,0.400119478,0.031294353,0.09192802,0.027435506
Test 56,0.399949595,0.400118486,0.023596416,0.059677838,0.021257385
Test 57,0.499980155,0.400118486,0.061311094,0.180355585,0.051525996
Test 58,0.599969042,0.400118486,0.013629171,0.057738367,0.013257989
Test 59,0.699973805,0.400118486,0.014924864,0.054709421,0.014297871
Test 60,0.799955747,0.400118486,0.785463385,1,0.632707776
Test 61,0.899951579,0.400118486,0.017424745,0.043186988,0.016304197
Test 62,1,0.400118486,0.027598073,0.109680047,0.024468989
Test 63,0.100002778,0.3000973,0.147542568,0.162024873,0.120732656
Test 64,0.199958922,0.300092338,0.003292842,0.017167143,0.004962377
Test 65,0.299922011,0.300091345,0.023901141,0.075181074,0.021501948
Test 66,0.399942649,0.300092338,0.097353643,0.173003945,0.080452608
Test 67,0.499974202,0.300092338,0.083858316,0.125424022,0.069621684
Test 68,0.599961105,0.300092338,0.034877326,0.065426136,0.030311087
Test 69,0.699964875,0.300091345,0.250800407,0.289331393,0.203604139
Test 70,0.799949793,0.300091345,0.133403294,0.361854441,0.109384921
Test 71,0.899944634,0.300091345,0.02459477,0.076623123,0.022058632
Test 72,0.999996031,0.300091345,0.729421453,0.807818001,0.587730289
Test 73,0.09999484,0.200111844,0.051275527,0.110092547,0.043471766
Test 74,0.199952968,0.20008604,0.489787883,0.476732302,0.395407947
Test 75,0.299916057,0.200089017,1,0.932186521,0.804888093
Test 76,0.399936696,0.20009001,0.061087449,0.097871673,0.051346505
Test 77,0.499967256,0.200089017,0.018647471,0.056117793,0.017285518
Test 78,0.599955151,0.200088025,0.04778997,0.106448099,0.040674368
Test 79,0.699961898,0.200089017,0.040688155,0.126962758,0.034974675
Test 80,0.79994384,0.200088025,0.316835424,0.382044732,0.25660176
Test 81,0.899939672,0.200088025,0.184181201,0.262363149,0.150137667
Test 82,0.999989085,0.200087032,0.04792498,0.208496233,0.040782723
Test 83,0.099990871,0.100038057,0.461433853,0.452893828,0.372651897
Test 84,0.199948007,0.100037065,0.175336426,0.245842399,0.143039129
Test 85,0.299911096,0.100037065,0.03960866,0.117035563,0.034108306
Test 86,0.399934711,0.100036073,0.037872679,0.088811072,0.032715064
Test 87,0.499963288,0.100036073,0.055349847,0.089052632,0.046741687
Test 88,0.599951182,0.10003508,0.018313605,0.066697299,0.017017568
Test 89,0.699958922,0.100036073,0.058073886,0.099798097,0.048927915
Test 90,0.799938879,0.100036073,0.009471168,0.035443021,0.009920907
Test 91,0.899877162,0.100036073,0.68241418,0.604756452,0.550003735
Test 92,0.999907723,0.10003508,0.004968698,0.068148306,0.006307367
Test 93,0.099933322,0,0.040201465,0.210564255,0.034584074
Test 94,0.199869621,0,0.098233966,0.165043037,0.081159127
Test 95,0.299846601,0,0.143475234,0.253910354,0.117468342
Test 96,0.399842434,0,0.009553582,0.0479332,0.009987049
Test 97,0.499893832,0,0.028446656,0.069136013,0.025150035
Test 98,0.599890656,0,0.202633198,0.324139057,0.164946657
Test 99,0.79986843,0,0.507063294,0.565106846,0.273413301
Test 100,0.899869224,0,0.210254887,0.284271169,0.409272646
Test 101,0.999961303,0,0.133054758,0.162716059,0.171063585